기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20251,11590651,사당5동,CS100010,커피-음료,16.0,21.0,5.0,1.0,0.0,0.0,5.0
20251,11590660,대방동,CS100010,커피-음료,45.0,59.0,3.0,2.0,10.0,6.0,14.0
20251,11590670,신대방1동,CS100010,커피-음료,25.0,32.0,3.0,1.0,0.0,0.0,7.0
20251,11590680,신대방2동,CS100010,커피-음료,45.0,69.0,0.0,0.0,4.0,3.0,24.0
20251,11620525,보라매동,CS100010,커피-음료,38.0,48.0,4.0,2.0,4.0,2.0,10.0
20251,11620545,청림동,CS100010,커피-음료,10.0,15.0,0.0,0.0,13.0,2.0,5.0
20251,11620565,성현동,CS100010,커피-음료,27.0,27.0,0.0,0.0,4.0,1.0,0.0
20251,11620575,행운동,CS100010,커피-음료,47.0,58.0,3.0,2.0,0.0,0.0,11.0
20251,11620585,낙성대동,CS100010,커피-음료,72.0,88.0,1.0,1.0,5.0,4.0,16.0
20251,11620595,청룡동,CS100010,커피-음료,58.0,86.0,2.0,2.0,2.0,2.0,28.0
20251,11620605,은천동,CS100010,커피-음료,37.0,47.0,4.0,2.0,9.0,4.0,10.0
20251,11620615,중앙동,CS100010,커피-음료,31.0,43.0,5.0,2.0,2.0,1.0,12.0
20251,11620625,인헌동,CS100010,커피-음료,40.0,49.0,2.0,1.0,2.0,1.0,9.0
20251,11620630,남현동,CS100010,커피-음료,30.0,39.0,5.0,2.0,5.0,2.0,9.0
20251,11620645,서원동,CS100010,커피-음료,36.0,62.0,3.0,2.0,3.0,2.0,26.0
20251,11620655,신원동,CS100010,커피-음료,26.0,30.0,3.0,1.0,0.0,0.0,4.0
20251,11620665,서림동,CS100010,커피-음료,32.0,36.0,0.0,0.0,8.0,3.0,4.0
20251,11620685,신사동,CS100010,커피-음료,45.0,53.0,0.0,0.0,6.0,3.0,8.0
20251,11620695,신림동,CS100010,커피-음료,58.0,86.0,2.0,2.0,6.0,5.0,28.0
20251,11620715,난향동,CS100010,커피-음료,8.0,9.0,0.0,0.0,0.0,0.0,1.0
20251,11620725,조원동,CS100010,커피-음료,48.0,62.0,5.0,3.0,2.0,1.0,14.0
20251,11620735,대학동,CS100010,커피-음료,48.0,69.0,1.0,1.0,4.0,3.0,21.0
20251,11620745,삼성동,CS100010,커피-음료,7.0,8.0,13.0,1.0,13.0,1.0,1.0
20251,11620765,미성동,CS100010,커피-음료,29.0,42.0,2.0,1.0,2.0,1.0,13.0
20251,11620775,난곡동,CS100010,커피-음료,12.0,17.0,0.0,0.0,12.0,2.0,5.0
20251,11650510,서초1동,CS100010,커피-음료,92.0,135.0,2.0,2.0,3.0,4.0,43.0
20251,11650520,서초2동,CS100010,커피-음료,100.0,137.0,2.0,3.0,1.0,1.0,37.0
20251,11650530,서초3동,CS100010,커피-음료,167.0,229.0,3.0,7.0,3.0,7.0,62.0
20251,11650531,서초4동,CS100010,커피-음료,56.0,94.0,2.0,2.0,1.0,1.0,38.0
20251,11650540,잠원동,CS100010,커피-음료,54.0,67.0,6.0,4.0,3.0,2.0,13.0
20251,11650550,반포본동,CS100010,커피-음료,8.0,11.0,0.0,0.0,18.0,2.0,3.0
20251,11650560,반포1동,CS100010,커피-음료,69.0,88.0,5.0,4.0,6.0,5.0,19.0
20251,11650570,반포2동,CS100010,커피-음료,17.0,20.0,0.0,0.0,0.0,0.0,3.0
20251,11650580,반포3동,CS100010,커피-음료,8.0,17.0,0.0,0.0,6.0,1.0,9.0
20251,11650581,반포4동,CS100010,커피-음료,66.0,100.0,1.0,1.0,2.0,2.0,34.0
20251,11650590,방배본동,CS100010,커피-음료,54.0,65.0,3.0,2.0,2.0,1.0,11.0
20251,11650600,방배1동,CS100010,커피-음료,50.0,65.0,6.0,4.0,2.0,1.0,15.0
20251,11650610,방배2동,CS100010,커피-음료,64.0,76.0,1.0,1.0,5.0,4.0,12.0
20251,11650620,방배3동,CS100010,커피-음료,31.0,34.0,0.0,0.0,0.0,0.0,3.0
20251,11650621,방배4동,CS100010,커피-음료,66.0,76.0,3.0,2.0,0.0,0.0,10.0
20251,11650651,양재1동,CS100010,커피-음료,120.0,149.0,2.0,3.0,5.0,8.0,29.0
20251,11650652,양재2동,CS100010,커피-음료,131.0,162.0,4.0,6.0,4.0,7.0,31.0
20251,11650660,내곡동,CS100010,커피-음료,30.0,36.0,3.0,1.0,11.0,4.0,6.0
20251,11680510,신사동,CS100010,커피-음료,170.0,212.0,5.0,11.0,5.0,10.0,42.0
20251,11680521,논현1동,CS100010,커피-음료,144.0,190.0,5.0,9.0,5.0,9.0,46.0
20251,11680531,논현2동,CS100010,커피-음료,163.0,216.0,4.0,9.0,4.0,9.0,53.0
20251,11680545,압구정동,CS100010,커피-음료,151.0,193.0,1.0,2.0,5.0,10.0,42.0
20251,11680565,청담동,CS100010,커피-음료,113.0,137.0,3.0,4.0,4.0,5.0,24.0
20251,11680580,삼성1동,CS100010,커피-음료,108.0,157.0,1.0,2.0,1.0,2.0,49.0
20251,11680590,삼성2동,CS100010,커피-음료,112.0,142.0,1.0,2.0,3.0,4.0,30.0
20251,11680600,대치1동,CS100010,커피-음료,12.0,26.0,0.0,0.0,0.0,0.0,14.0
20251,11680610,대치2동,CS100010,커피-음료,85.0,119.0,3.0,3.0,3.0,3.0,34.0
20251,11680630,대치4동,CS100010,커피-음료,104.0,157.0,3.0,4.0,6.0,10.0,53.0
20251,11680640,역삼1동,CS100010,커피-음료,381.0,532.0,2.0,11.0,4.0,23.0,151.0
20251,11680650,역삼2동,CS100010,커피-음료,108.0,149.0,3.0,5.0,4.0,6.0,41.0
20251,11680655,도곡1동,CS100010,커피-음료,43.0,58.0,0.0,0.0,3.0,2.0,15.0
20251,11680656,도곡2동,CS100010,커피-음료,48.0,67.0,6.0,4.0,2.0,1.0,19.0
20251,11680660,개포1동,CS100010,커피-음료,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20251,11680670,개포2동,CS100010,커피-음료,15.0,25.0,4.0,1.0,4.0,1.0,10.0
20251,11680690,개포4동,CS100010,커피-음료,38.0,50.0,6.0,3.0,6.0,3.0,12.0
20251,11680700,세곡동,CS100010,커피-음료,36.0,56.0,2.0,1.0,0.0,0.0,20.0
20251,11680720,일원본동,CS100010,커피-음료,11.0,12.0,0.0,0.0,0.0,0.0,1.0
20251,11680730,일원1동,CS100010,커피-음료,25.0,30.0,0.0,0.0,3.0,1.0,5.0
20251,11680740,일원2동,CS100010,커피-음료,9.0,14.0,0.0,0.0,14.0,2.0,5.0
20251,11680750,수서동,CS100010,커피-음료,19.0,36.0,0.0,0.0,3.0,1.0,17.0
20251,11710510,풍납1동,CS100010,커피-음료,11.0,12.0,8.0,1.0,17.0,2.0,1.0
20251,11710520,풍납2동,CS100010,커피-음료,28.0,34.0,3.0,1.0,3.0,1.0,6.0
20251,11710531,거여1동,CS100010,커피-음료,14.0,16.0,0.0,0.0,6.0,1.0,2.0
20251,11710532,거여2동,CS100010,커피-음료,9.0,21.0,0.0,0.0,0.0,0.0,12.0
20251,11710540,마천1동,CS100010,커피-음료,7.0,10.0,0.0,0.0,20.0,2.0,3.0
20251,11710550,마천2동,CS100010,커피-음료,20.0,25.0,4.0,1.0,16.0,4.0,5.0
